ConstituentID,DisplayName,Nationality,Gender
8238,Franz Wilhelm Seiwert,German,Male
9766,"Stede, Inc., Chicago",,
5524,Alan Sonfist,American,Male
34842,Elsa Cayo,Peruvian,Female
33145,Christian Marc Schmidt,German,Male
32799,Jaap Berghuis,Dutch,Male
11073,"Valsts Electro-Techniska Fabrika, Riga, Latvia",,
6563,Zero (Hans Schleger),British,Male
1452,Erwin De Vries,Dutch,Male
43635,Kambozia Partovi,Iranian,Male
23922,Samuil Adlivankin,Russian,Male
2986,Mitsuo Kano,Japanese,Male
49244,Moon Hoon,Korean,Male
4006,Thomas Minkler,American,Male
28818,Nora Speyer,American,Female
6437,Brian Wood,Canadian,Male
35865,ACT UP (AIDS Coalition to Unleash Power),American,
38624,Joseph Turner Keiley,American,Male
44251,James Waring,American,Male
74672,Lyman Kipp,American,Male
3752,Jean Marchand,French,Male
852,Budry,Greek,
4683,Jacqueline Poncelet,British,Female
34734,Ercole Brini,Italian,Male
7595,David Moreno,American,Male
1097,Sandro Chia,Italian,Male
4340,Gastone Novelli,Italian,Male
2395,José Guerrero,American,Male
4950,Bruce Robbins,American,Male
718,Lynn Bowers,American,Male
34732,Zheng Guogu,Chinese,Male
4642,Gerardo Pita,Spanish,Male
74681,Peter Harris,,Male
23988,K.E.B.,,
788,Alexey Brodovitch,American,Male
37671,Gilberto Battocchio,Italian,Male
41307,Julia Gorton,American,Female
46980,Achim Duchow,German,Male
6801,William Stone Reverón,Venezuelan,Male
68048,Thom Browne,American,
28837,Tam Van Tran,American,Male
380,Dora M. Batty,British,Female
24594,J. Jay Hirz,American,Male
29430,Dan Perjovschi,Romanian,Male
1617,Werner Drewes,American,Male
68132,Tissa David,American,Female
4408,Toni Onley,Canadian,Male
47887,Chen Zhen,Chinese,Male
41321,Poly Styrene (Marianne Joan Elliott-Said),British,Female
6267,Eva Watson-Schütze,American,Female
4476,Hans Heinrich Palitzsch,German,Male
49468,Channa Horwitz,American,Female
5893,Hans Tollin,Swedish,Male
6763,Gordon Rayner,Nationality unknown,Male
23601,N. Rozenfel'd,,
2570,Wally Hedrick,American,Male
4674,Dean Pollock,American,Male
23026,"Glasatelier Steinschoenau, Austria",Austrian,
2021,Ernst Fuchs,Austrian,Male
1041,Alik Cavaliere,Italian,Male
2746,Patriz Hüber,German,Male
7667,Horst P. Horst,American,Male
28704,Marepe,Brazilian,Male
