Title,ConstituentID,Date
"Lake Louise, Canada",2002.0,1974
The Women of the Marne from the book Architectures,5318.0,1921
Alone in the Rain,1381.0,1953
Cat's Paw,41935.0,1959
Midwestern United States,2002.0,1966
"Funeral of Dr. Martin Luther King, Jr.",8524.0,"April 9, 1968"
Chicago,924.0,c. 1949
Directed Seeding/Cancelled Crop,4415.0,1969
Still Life,3426.0,1920
The Kin-der-Kids' Narrow Escape from Aunty JimJam from The Chicago Sunday Tribune,1832.0,(September 2) 1906
"The Towering Smokestacks of the Otis Steel Co., Cleveland",712.0,1927-28
"Thief Crucified (plate, folio 2) from Some Engravings",369.0,1950-1952
"Kataloh vystavky ""Khudozhnyk s'ohodni"" v zaliakh Vseukrains'koho sotsiial'noho Muzeiu",23390.0,1927
Painting 1943,4293.0,1943
CABARET. RUE DE LAPPE,229.0,1923
"Beaded Gravel (Gravier perlier) from the portfolio Waters, Stones, Sand (Eaux, Pierres, Sable) from Phenomena (Les Phénomènes)",1633.0,1959
Untitled,8595.0,1929-32
Untitled sketch for A Trip to the Moon,3918.0,1902
"Woodblock for Ships, Waves, and Sun (Schiffe, Wellen und Sonne)",1832.0,1920
Cycle of Civilization. The Mythology of the Civilizing Processes,7816.0,1972
Gloucester Cathedral,2015.0,c. 1860
City on the Mountain (Stadt auf dem Berge),1832.0,1918
Mephistopheles and Faust Fleeing After the Duel (plate preceding page 111) from Faust,1474.0,1825-1828
Plate (page 81) from La Nouvelle chute d'Amérique,3542.0,1992
Text with double page decoration (folios 6 verso and 7) from the illustrated book Divers Poèmes du Livre Ouvert,4609.0,1941
James Joyce,5821.0,1928
PAVILLON DU ROI. PLACE DES VOSGES,229.0,1898
Calotypes by D.O. Hill,2648.0,1843-47
"Number 43 (Abstract Painting, Yellow)",4856.0,1947
In-text plate (page 30) from UNE AVENTURE METHODIQUE,744.0,1949-1950
Dismemberment,710.0,1990
Hoot,37052.0,2006
A New Dawn from Capriccios,2360.0,1953–57
Casey Bats Again,41915.0,1954
Hags,4208.0,1968-70
Tall Grasses by Ruth Whitman,3580.0,(1965)
Untitled from the Museum in Progress project The Message as Medium,30853.0,"(newspaper published June 7, 1991)"
White Curve VII,3048.0,1976
"Hummingbird (plate, folio 73 verso) from A Bestiary",5373.0,1990
Portrait of John Masefield,1164.0,c. 1915
Kalabscheh,1629.0,c. 1849
Untitled,453.0,c. 1912
Bergsee from the portfolio Swiss Landscapes (Schweizer Landschaften),1243.0,(1924)
Bubble Pack Fabric,7045.0,c. 1994
STERN OF THE MAURETANIA,1684.0,n.d.
Stripped to the Bare Wood Furniture,74669.0,1998
Gom Push Pins and Magnets,3308.0,1984
